"G1","G2","Score","DifferenceinPotential","ActualPotential","ConstRatio","MeanPotPoints","ConstDiffmax","ConstDiffmean"
"ESSFwc 4 /111","ESSFwcw  /101",14.3384083543038,52.5300813397129,0.272956142244994,0.444444444444444,87.5558684210526,0.874026587304344,0.836237037986409
"ESSFwc 4 /111","ESSFwc 4 /110",14.0813216021017,68.5372727272727,0.205454945050627,0.545454545454545,106.671315789474,0.900089922076854,0.867993363559023
"ESSFwc 4 /111","ESSFwcw  /110",8.82084936047784,54.5385454545455,0.161736058176129,0.631578947368421,95.678,0.928255022134207,0.907806921544369
"ESSFwc 4 /111","ESSFmm 3 /111",10.947383941248,68.3118181818182,0.160256076219646,0.590909090909091,90.1559090909091,0.911936096653044,0.878572751895728
"ESSFwc 4 /111","ESSFdv 2 /110",10.2762263928836,62.9445454545455,0.163258409742659,0.619047619047619,81.845,0.909314563035629,0.874442832269735
"ESSFwc 4 /111","ESSFwc 2 /07",3.85808230847348,56.8481818181818,0.0678664151619277,0.75,95.7968181818182,0.968941764017763,0.959726404470439
"ESSFwc 4 /111","ESSFdv 1 /110",10.5429401452542,55.8720454545455,0.188697944732154,0.619047619047619,88.34625,0.909333212208696,0.880663410781395
"ESSFdc 1 /102","ESSFdc 1 /103",3.9685387131952,34.8575,0.11385035396099,0.833333333333333,56.42875,0.946267627347322,0.929671688400058
"ESSFdc 1 /102","ESSFmw 1 /103",11.2330616117313,51.896,0.216453322254727,0.555555555555556,69.448,0.882248085750647,0.838252194278722
"ESSFdc 1 /102","ESSFxv 1 /01",12.9581557973067,34.175,0.379170615868522,0.545454545454545,46.8375,0.797291266369859,0.723338013401511
"ESSFdc 1 /102","ESSFxv 2 /06",13.3874193296614,40.9942857142857,0.326567937369772,0.454545454545455,50.6285714285714,0.811778068394734,0.735575803308043
"ESSFmh   /101","ESSFwh 3 /101",6.39500944272806,34.1359452307692,0.187339456971116,0.785714285714286,80.2389504615385,0.934280015845608,0.920300435063723
"ESSFmh   /101","ESSFwh 1 /101",10.8794757579487,40.2663188571429,0.270187990030749,0.666666666666667,83.7905548571429,0.895312866435489,0.870158685826852
"ESSFmh   /101","ESSFwh 3 /104.2",12.2206349659214,36.7423188571429,0.332603802537238,0.8,77.7559834285714,0.872870090562425,0.842833510334963
"ESSFmh   /101","ESSFwc 4 /103a",12.6816666666667,41.739824,0.303826548637739,0.6,69.869912,0.860241445182143,0.8184960263487
"ESSFdc 1 /103","ESSFwh 2 /103",11.910753167545,60.3455,0.197375996015362,0.555555555555556,66.17275,0.876374577250157,0.820005165758639
"ESSFdc 1 /103","ESSFmw 1 /103",11.985,46.8255,0.255950283499375,0.684210526315789,79.37675,0.88340248760817,0.849011202902613
"ESSFdh 2 /111","ESSFmh   /111",13.6433818433818,71.7769230769231,0.190080338617473,0.592592592592593,115.348461538462,0.909788022886167,0.881720296383558
"ESSFwk 2 /01","ESSFwk 2 /02",12.1690688655317,49.1864,0.24740718705845,0.470588235294118,90.3484,0.894128245426097,0.865309525508678
"ESSFwk 2 /01","ESSFmv 2 /04",8.60412784161113,46.663652173913,0.184386078688054,0.666666666666667,92.978747826087,0.926024543150791,0.907461349579532
"ESSFwk 2 /01","ESSFwk 1 /03",8.20604575729948,38.2888,0.21431974251738,0.684210526315789,96.3397846153846,0.928942254866938,0.914821838246159
"ESSFwk 2 /01","ESSFwk 1 /01",13.1273859118116,70.2522482758621,0.186860723094068,0.64,109.785434482759,0.909411050182871,0.88042688928946
"ESSFwk 2 /01","ESSFwc 2 /04",7.38379222259136,53.2176173913044,0.138747140224242,0.8125,89.2746173913043,0.936282586113301,0.917291247631709
"ESSFwk 2 /01","ESSFdc 3 /110",10.8572261807407,49.4691,0.219474908189976,0.705882352941176,102.52815,0.914686501380682,0.894104924542765
"ESSFwk 2 /01","ESSFmv 3 /04",11.0717973042843,48.64425,0.227607524101704,0.80952380952381,105.007525,0.9143908817175,0.894561867787244
"ESSFwk 2 /01","ESSFwk 2 /06",12.128550863869,60.8248,0.199401409686,0.571428571428571,98.2364,0.905723560080864,0.876537099650751
"ESSFmc   /01","ESSFmm 3 /101",7.0173972926079,45.7763975155279,0.153297281426034,0.666666666666667,83.3371180124224,0.933938560919618,0.91579505675296
"ESSFmc   /01","ESSFwv   /01",2.00526402744333,46.2052964426877,0.0433990079455637,0.846153846153846,80.2046245059288,0.980589323728087,0.974998149548159
