"YearOfChange","ChangeDescription","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName","Codetype","Province","Native","TaxonLevel","IsAttribute","ID"
,,"Pottiace","EUCLVER","EUCLVER","EUCLVER",,"Eucladium verticillatum",9.00,,"whorled tufa-moss","U",,"N",,0,110
,,"Fabronia","FABRPUS","FABRPUS","FABRPUS",,"Fabronia pusilla",9.00,,,"U",,"N",,0,112
,,"Fissiden","FISSADI","FISSADI","FISSADI",,"Fissidens adianthoides",9.00,,"maidenhair pocket-moss","U",,"N",,0,113
,,"Fissiden","FISSAPH","FISSAPH","FISSAPH",,"Fissidens aphelotaxifolius",9.00,,,"U",,"N",,0,114
,,"Fissiden","FISSARC","FISSARC","FISSARC",,"Fissidens arcticus",9.00,,,"U",,,,0,115
,,"Fissiden","FISSBRY","FISSBRY","FISSBRY",,"Fissidens bryoides",9.00,,"lesser pocket-moss","U",,"N",,0,116
,,"Fissiden","FISSBUS","FISSBUS","FISSBUS",,"Fissidens bushii",9.00,,,"U",,,,0,117
,,"Fissiden","FISSCRI","FISSCRI","FISSCRI",,"Fissidens crispus",9.00,,,"U",,,,0,118
,,"Fissiden","FISSDUB","FISSDUB","FISSDUB",,"Fissidens dubius",9.00,,,"U",,,,0,119
,,"Fissiden","FISSEXI","FISSEXI","FISSEXI",,"Fissidens exilis",9.00,,,"U",,,,0,120
,,"Thuidiac","ABIEABI","ABIEABI","ABIEABI",,"Abietinella abietina",9.00,,"wiry fern-moss","U",,"N",,0,121
,,"Pottiace","ACAUTRI","ACAUTRI","ACAUTRI",,"Acaulon triquetrum",9.00,,,"U",,,,0,122
,,"Pottiace","ALOIBRE","ALOIBRE","ALOIBRE",,"Aloina brevirostris",9.00,,"short-beaked aloe-moss","U",,"N",,0,123
,,"Pottiace","ALOIRIG","ALOIRIG","ALOIRIG",,"Aloina rigida",9.00,,"rigid aloe-moss","U",,"N",,0,124
,,"Leptodon","ALSICAL","ALSICAL","ALSICAL",,"Alsia californica",9.00,,,"U",,"N",,0,125
,,"Meesiace","AMBLDEA","AMBLDEA","AMBLDEA",,"Amblyodon dealbatus",9.00,,"short-tooth hump-moss","U",,"N",,0,126
,,"Amblyste","AMBLSER","AMBLSER","AMBLSER",,"Amblystegium serpens",9.00,,"creeping feathermoss","U",,"N",,0,127
,,"Orthotri","AMPHCAL","AMPHCAL","AMPHCAL",,"Amphidium californicum",9.00,,"California yoke-moss","U",,"N",,0,128
,,"Orthotri","AMPHLAP","AMPHLAP","AMPHLAP",,"Amphidium lapponicum",9.00,,"bottle-brush moss","U",,"N",,0,129
,,"Orthotri","AMPHMOU","AMPHMOU","AMPHMOU",,"Amphidium mougeotii",9.00,,"Mougeot's yoke-moss","U",,"N",,0,130
,,"Amblyste","ANACSPL","ANACSPL","ANACSPL",,"Anacamptodon splachnoides",9.00,,,"U",,,,0,131
,,"Bartrami","ANACMEN","ANACMEN","ANACMEN",,"Anacolia menziesii",9.00,,,"U",,"N",,0,132
,,"Andreaea","ANDRBLY","ANDRBLY","ANDRBLY",,"Andreaea blyttii",9.00,,"Blytt's rock-moss","U",,"N",,0,133
,,"Andreaea","ANDRHEI","ANDRHEI","ANDRHEI",,"Andreaea heinemannii",9.00,,,"U",,"N",,0,134
,,"Andreaea","ANDRMEG","ANDRMEG","ANDRMEG",,"Andreaea megistospora",9.00,,"big-spored rock-moss","U",,"N",,0,135
,,"Andreaea","ANDRMUT","ANDRMUT","ANDRMUT",,"Andreaea mutabilis",9.00,,"changeable rock-moss","U",,"N",,0,136
,,"Andreaea","ANDRNIV","ANDRNIV","ANDRNIV",,"Andreaea nivalis",9.00,,"snow rock-moss","U",,"N",,0,137
,,"Andreaea","ANDROBO","ANDROBO","ANDROBO",,"Andreaea obovata",9.00,,,"U",,"N",,0,138
,,"Andreaea","ANDRROT","ANDRROT","ANDRROT",,"Andreaea rothii",9.00,,"dusky rock-moss","U",,"N",,0,139
,,"Andreaea","ANDRRUP","ANDRRUP","ANDRRUP",,"Andreaea rupestris",9.00,,"black rock-moss","U",,"N",,0,140
,,"Andreaea","ANDRSCH","ANDRSCH","ANDRSCH",,"Andreaea schofieldiana",9.00,,,"U",,"N",,0,141
