"SiteSeries","SiteSeries1","Score","Association","Association1","SubAssociation.x","SubAssociation.y"
"CWH wh 1 /111a","CWH vh 3 /105",8.4,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111a","CWH wh 1 /112",3,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Picesit-Maiadil (HG high bench)","","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111a","CWH wh 1 /105",8.57222222222222,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC CwSs-Polymun","","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111a","CWH wh 1 /101b",5.05,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111a","CWH wh 1 /101a",6.3,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111b","CWH wh 1 /104",9,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Picesit-Eurhore","","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111b","CWH vh 3 /111",1,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Picesit-Maiadil (HG high bench)","","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111b","CWH vh 3 /104",2.75,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Picesit-Eurhore","","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111b","CWH vh 3 /105",3.46428571428571,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111b","CWH wh 1 /101b",4.05555555555556,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111b","CWH wh 1 /101a",7.84831460674157,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111b","CWH wh 1 /112",8,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Picesit-Maiadil (HG high bench)","","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /111b","CWH vh 3 /106",9,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC CwSs-Polymun","","SUBASS CwSs-Tiartri(typic)"
"CWH wh 1 /112","CWH wh 1 /105",7.61111111111111,"ASSOC Picesit-Maiadil (HG high bench)","ASSOC CwSs-Polymun","",""
"CWH wh 1 /112","CWH vh 3 /104",7.16666666666667,"ASSOC Picesit-Maiadil (HG high bench)","ASSOC Picesit-Eurhore","",""
"CWH wh 1 /112","CWH wh 1 /101a",9.8314606741573,"ASSOC Picesit-Maiadil (HG high bench)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)",""
"CWH wh 1 /112","CWH vh 3 /112",5.75,"ASSOC Picesit-Maiadil (HG high bench)","ASSOC Picesit-Triscan (HG mid bench)","",""
"CWH wh 1 /112","CWH wh 1 /104",3.16666666666667,"ASSOC Picesit-Maiadil (HG high bench)","ASSOC Picesit-Eurhore","",""
"CWH wh 1 /116","CWH vh 3 /105",5.05519480519481,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH wh 1 /101b",6.74747474747475,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH vh 3 /111",0.727272727272727,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Picesit-Maiadil (HG high bench)","","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH vh 3 /101c",4.09090909090909,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Thujpli-Gaulsha-Blecspi (vh zonals)","SUBASS CwHw-Gaulsha-Blecspi(YcSs) vh3","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH vh 3 /103 .1",8.11111111111111,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Picesit-Gaulsha-Maiadil","SUBASS Ss-Gaulsha-Maiadil(typic)","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH vh 3 /101a",6.45121951219512,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Thujpli-Gaulsha-Blecspi (vh zonals)","SUBASS CwHw-Gaulsha-Blecspi(YcSs) vh3","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH wh 1 /101a",7.9826353421859,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Picesit-Rhytlor","SUBASS HwSs-Rhytlor(Cw)","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH vh 2 /06",9.62765957446809,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Abieama-Blecspi-Tiartri","SUBASS HwBa-Blecspi-Tiartri","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH wh 1 /110b",3.96969696969697,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Tsughet-Thujpli-Gaulsha-Blecspi (vh zonals)","SUBASS HwCw-Gaulsha-Blecspi(typic)","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH vh 3 /104",6.56060606060606,"ASSOC CwSs-Tiartri (wet rich wh1)","ASSOC Picesit-Eurhore","","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH wh 1 /118",2.46666666666667,"ASSOC CwSs-Tiartri (wet rich wh1)","Ws56 ASSOC CwSs-Lysiame(Gaulsha)","","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH vh 3 /117",5.25,"ASSOC CwSs-Tiartri (wet rich wh1)","Ws56 ASSOC CwSs-Lysiame(Gaulsha)","","SUBASS CwSs-Conocon"
"CWH wh 1 /116","CWH vh 2 /13a",5.96363636363636,"ASSOC CwSs-Tiartri (wet rich wh1)","","","SUBASS CwSs-Conocon"
"CWH wh 2 /111","MH  wh   /101b",4.67261904761905,"ASSOC YcHm - Coptasp","ASSOC Tsugmer-Picesit-Vaccini (wh zonals)","",""
"CWH wh 2 /112a","CWH wh 2 /111",5.88392857142857,"","ASSOC YcHm - Coptasp","","SUBASS SsYc - Veravir - Conocon"
"CWH wm   /02","CWH wm   /01",3.73913043478261,"ASSOC Tsughet-Vaccala-Hylospl","ASSOC Tsughet-Vaccala-Dryoexp","",""
"CWH wm   /04","CWH ws 1 /07",4.25596816976127,"ASSOC Picesit-Oplohor","ASSOC Picesit-Tsughet-Oplohor-Rubuspe-Gymndry","",""
"CWH wm   /04","CWH wm   /05Fh1",7.3974358974359,"ASSOC Picesit-Oplohor","ASSOC Picesit-Tsughet-Oplohor-Rubuspe-Gymndry","",""
"CWH wm   /04","CWH vm 1 /08",6.81538461538462,"ASSOC Picesit-Oplohor","ASSOC Abieama-Oplohor","SUBASS Ba-Oplohor(Picesit)",""
"CWH wm   /04","CWH ms 2 /06",9.73649754500818,"ASSOC Picesit-Oplohor","ASSOC Abieama-Oplohor","SUBASS Ba-Oplohor(typic)",""
"CWH ws 1 /01","CWH ms 1 /04",6.36601307189542,"ASSOC Abieama-Rubuped","","","SUBASS Ba-Rubuped(ws1)"
"CWH ws 1 /01","CWH vm 1 /01s",6.06106106106106,"ASSOC Abieama-Rubuped","ASSOC Tsughet-Thujpli-Gaulsha-Blecspi (vh zonals)","SUBASS HwCw-Gaulsha-Blecspi(Ba) vh1","SUBASS Ba-Rubuped(ws1)"
"CWH ws 1 /03","ICH mc 2 /01",1.6062831497348,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Picexlu-Hylospl","SUBASS HwSxl-Hylospl(Thujpli)",""
"CWH ws 1 /03","CWH ms 2 /01",5.10606060606061,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Abieama-Pseumen-Hylospl","",""
"CWH ws 1 /03","CWH wm   /02",9.8640350877193,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Vaccala-Hylospl","",""
"CWH ws 1 /03","ICH mm   /03",6.36222910216718,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Piceene-Hylospl (ICHmm zonal)","SUBASS HwCwSxw-Hylospl(typic)",""
"CWH ws 1 /03","CWH ms 2 /05",6.94736842105263,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Abieama-Rubuped","SUBASS Ba-Rubuped(Clinuni)",""
"CWH ws 1 /03","CWH vm 1 /03",9.53781512605042,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Thujpli-Vaccala-Gaulsha","",""
"CWH ws 1 /03","CWH ms 1 /01",6.43502274204029,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Abieama-Pseumen-Hylospl","",""
"CWH ws 1 /03","CWH ws 1 /01",9.01851851851852,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Abieama-Rubuped","SUBASS Ba-Rubuped(ws1)",""
"CWH ws 1 /03","ICH mc 2 /01b",3.09736842105263,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Picexlu-Hylospl","SUBASS HwSxl-Hylospl(Thujpli)",""
"CWH ws 1 /04","CWH ms 2 /04",1.47058823529412,"ASSOC Abieama-Oplohor","","","SUBASS Ba-Oplohor(Gymndry)"
"CWH ws 1 /05","CWH ms 1 /04",7.15073529411765,"ASSOC Abieama-Rubuped","","","SUBASS Ba-Rubuped(Clinuni)"
"CWH ws 1 /06","CWH ms 2 /04",5.38782051282051,"ASSOC Abieama-Oplohor","","","SUBASS Ba-Oplohor(typic)"
"CWH ws 1 /06","ICH vk 1 /101",8.08333333333333,"ASSOC Abieama-Oplohor","ASSOC Thujpli-Tsughet-Oplohor-Athyfil","SUBASS CwHw-Oplohor-Athyfil(Brachyt)","SUBASS Ba-Oplohor(typic)"
"CWH ws 1 /06","CWH ws 1 /07",6.57614942528736,"ASSOC Abieama-Oplohor","ASSOC Picesit-Tsughet-Oplohor-Rubuspe-Gymndry","","SUBASS Ba-Oplohor(typic)"
"CWH ws 1 /07","CWH ms 2 /04",8.15915119363395,"ASSOC Picesit-Tsughet-Oplohor-Rubuspe-Gymndry","","",""
"CWH ws 2 /01","CWH mm 2 /07",8.94230769230769,"ASSOC Abieama-Rubuped","?ASSOC Thujpli-Vaccovt","","SUBASS Ba-Rubuped(ws2)"
"CWH ws 2 /03","CWH wm   /02",8.83333333333333,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Vaccala-Hylospl","",""
"CWH ws 2 /03","CWH ws 2 /01",8.98717948717949,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Abieama-Rubuped","SUBASS Ba-Rubuped(ws2)",""
"CWH ws 2 /03","ICH wc   /03",7.73571428571429,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Picexlu-Hylospl","SUBASS HwSxl-Hylospl(typic)",""
"CWH ws 2 /03","ICH mc 2 /01",8.98217054263566,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Picexlu-Hylospl","SUBASS HwSxl-Hylospl(Thujpli)",""
"CWH ws 2 /03","CWH ms 2 /01",3.10606060606061,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Abieama-Pseumen-Hylospl","",""
"CWH ws 2 /03","CWH ws 1 /01",8.14814814814815,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Abieama-Rubuped","SUBASS Ba-Rubuped(ws1)",""
"CWH ws 2 /03","CWH mm 2 /07",6.2,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","?ASSOC Thujpli-Vaccovt","",""
"CWH ws 2 /03","CWH ms 1 /01",3.49012345679012,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Tsughet-Abieama-Pseumen-Hylospl","",""
"CWH ws 2 /03","CWH ms 2 /05",4.9,"ASSOC Tsughet-Abieama-Hylospl-Pleusch","ASSOC Abieama-Rubuped","SUBASS Ba-Rubuped(Clinuni)",""
"CWH ws 2 /05","MH  mm 2 /04",8.67096774193548,"ASSOC Abieama-Rubuped","ASSOC Tsugmer-Vaccmem","SUBASS Hm-Vaccmem(mm2)","SUBASS Ba-Rubuped(Clinuni)"
"CWH ws 2 /05","MH  mm 1 /01",9.73333333333333,"ASSOC Abieama-Rubuped","ASSOC Tsugmer-Vaccmem","SUBASS Hm-Vaccmem(Rubuped)mm1","SUBASS Ba-Rubuped(Clinuni)"
"CWH xm   /04","CWH dm   /01",8.59887005649717,"ASSOC Pseumen-Polymun","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(Plagund)",""
"CWH xm   /04","CWH xm 2 /01",6.2020202020202,"ASSOC Pseumen-Polymun","ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","",""
"CWH xm   /04","CWH dm   /03",9.8989898989899,"ASSOC Pseumen-Polymun","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(typic)",""
"CWH xm 1 /01","CWH xm 2 /03",4.43064182194617,"ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(typic)",""
"CWH xm 1 /01","CWH xm 1 /03",4.55072463768116,"ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(Rosagym)",""
"CWH xm 1 /01","CWH dm   /01",3.04845246868091,"ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(Plagund)",""
"CWH xm 1 /01","CWH dm   /03",3.63768115942029,"ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(typic)",""
"CWH xm 1 /02","CDF mm   /02",5.38610038610039,"ASSOC Pseumen-Racocan-Cladina","ASSOC Pseumen-Arbumen","",""
"CWH xm 1 /02","CWH xm 1 /03",5.46063454759107,"ASSOC Pseumen-Racocan-Cladina","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(Rosagym)",""
"CWH xm 1 /02","CDF mm   /03",1.55405405405405,"ASSOC Pseumen-Racocan-Cladina","ASSOC Pseumen-Melisub","",""
"CWH xm 1 /02","CDF mm   /01",3.13616801514891,"ASSOC Pseumen-Racocan-Cladina","ASSOC Pseumen-Mahoner-Gaulsha","",""
"CWH xm 1 /02","CWH ds 1 /02",8.37331081081081,"ASSOC Pseumen-Racocan-Cladina","ASSOC Pseumen-Pinucon-Arctuva","",""
"CWH xm 1 /03","CWH ds 1 /02",9.64673913043478,"ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","ASSOC Pseumen-Pinucon-Arctuva","","SUBASS FdHw-Gaulsha-Vaccpar(Rosagym)"
"CWH xm 1 /05","CDF mm   /13",8.1575,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Oemlcer","","SUBASS FdHw-Achltri(Polymun)"
"CWH xm 1 /05","CDF mm   /12",6.8,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Achltri","SUBASS Cw-Achltri(Acermac)","SUBASS FdHw-Achltri(Polymun)"
"CWH xm 1 /05","CDF mm   /04",6.92,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Mahoner-Achltri","","SUBASS FdHw-Achltri(Polymun)"
"CWH xm 1 /05","CDF mm   /06",2.64,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Achltri","SUBASS Cw-Achltri(Trilova)","SUBASS FdHw-Achltri(Polymun)"
"CWH xm 1 /05","CWH ds 1 /05",7.27,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Pseumen-Acercir","","SUBASS FdHw-Achltri(Polymun)"
"CWH xm 1 /07","CDF mm   /06",0.666666666666667,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Achltri","SUBASS Cw-Achltri(Trilova)","SUBASS FdHw-Achltri(Tiartri)"
"CWH xm 1 /07","CDF mm   /12",7.13333333333333,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Achltri","SUBASS Cw-Achltri(Acermac)","SUBASS FdHw-Achltri(Tiartri)"
"CWH xm 1 /07","CWH ds 1 /05",7.91111111111111,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Pseumen-Acercir","","SUBASS FdHw-Achltri(Tiartri)"
"CWH xm 1 /07","CDF mm   /13",4.66666666666667,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Thujpli-Oemlcer","","SUBASS FdHw-Achltri(Tiartri)"
"CWH xm 2 /01","CWH dm   /01",0,"ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(Plagund)",""
"CWH xm 2 /01","CWH dm   /03",4.52525252525253,"ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(typic)",""
"CWH xm 2 /01","CWH xm 2 /03",3.43434343434343,"ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar","SUBASS FdHw-Gaulsha-Vaccpar(typic)",""
"CWH xm 2 /05","CWH xm 2 /01",8.91414141414141,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)","","SUBASS FdHw-Achltri(Polymun)"
"CWH xm 2 /05","CWH xm   /04",8.77777777777778,"ASSOC Pseumen-Tsughet-Achltri","ASSOC Pseumen-Polymun","","SUBASS FdHw-Achltri(Polymun)"
"CWH xm 2 /08","CWH xm 1 /07",7.7,"ASSOC Picesit-Rubuspe","ASSOC Pseumen-Tsughet-Achltri","SUBASS FdHw-Achltri(Tiartri)",""
"CWH xm 2 /08","CWH xm 2 /07",7.30588235294118,"ASSOC Picesit-Rubuspe","ASSOC Pseumen-Tsughet-Achltri","SUBASS FdHw-Achltri(Tiartri)",""
"CWH xm 2 /08","CWH dm   /05",9.83095238095238,"ASSOC Picesit-Rubuspe","ASSOC Pseumen-Tsughet-Achltri","SUBASS FdHw-Achltri(Polymun)",""
"ESSFdc 1 /101","ESSFwc 4 /103a",8.59234234234234,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)"
"ESSFdc 1 /101","ESSFmw 1 /101.1",9.9,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abielas-Abieama-Rhodalb-Rubuped (ESSFmw zonals)","SUBASS BlBa-Rhodalb-Rubuped(Valesit)","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)"
"ESSFdc 1 /101","ESSFwc 4 /101",7.94444444444445,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","SUBASS Bl-Rhodalb-Gymndry(Rhytrob)","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)"
"ESSFdc 1 /101","ESSFmh   /101",8.32756756756757,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC BlSe-Rhodalb-Tiartri (mh zonals)","","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)"
"ESSFdc 1 /102","ESSFdc 1 /104",6.36666666666667,"ASSOC Abielas-Pinucon-Vaccsco - Cladonia","ASSOC Abielas-Rhodalb-Vaccsco","","SUBASS BlPl-Vaccmem"
"ESSFdc 1 /103","ESSFdc 1 /102",4.125,"ASSOC Abielas-Pinucon-Paximyr-Vaccsco","ASSOC Abielas-Pinucon-Vaccsco - Cladonia","SUBASS BlPl-Vaccmem",""
"ESSFdc 2 /101","ESSFxc 2 /110",1.03846153846154,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abielas-Rhodalb-Vaccsco","","SUBASS BlSe-Rhodalb-Valesit(Vaccsco)(dc2)"
"ESSFdc 2 /102","MS  dm 2 /102",8.85714285714286,"ASSOC Pinucon-Junicom-Calarub","ASSOC Pseumen-Pinucon-Junicom-Arctuva (ICH and MS cool)))","SUBASS FdPl-Junicom-Arctuva(Calarub)",""
"ESSFdc 2 /106","MS  xk 1 /110",2.77777777777778,"","ASSOC Piceene-Abielas-Rhodneo-Vaccsco","SUBASS SxwBl-Rhodneo-Vaccsco (Corncan)",""
"ESSFdc 2 /110","ESSFdc 1 /111",8.59099099099099,"ASSOC Abielas-Valesit-Trollax","ASSOC Abielas-Valesit-Tiarella-Mnium (wetter)","SUBASS Bl-Valesit-Tiarell (Strelan)","SUBASS Bl-Valesit-Trollax"
"ESSFdc 3 /101  ","ESSFmv 2 /04",8.3695652173913,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)","SUBASS Bl-Gymndry-Ptilcri(typic)","SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)"
"ESSFdc 3 /104","MS  dc 1 /101",8.72916666666667,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Piceene-Orthsec-Pleusch (MSdc)","SUBASS Sxw-Orthsec-Pleusch(Rhytrob)","SUBASS Bl-Vaccmem-Pleusch(typic)"
"ESSFdc 3 /105","ESSFxc 2 /110",7.23076923076923,"ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)","ASSOC Abielas-Rhodalb-Vaccsco","","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)"
"ESSFdc 3 /105","ESSFmv 2 /01",3.6,"ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)","ASSOC Abielas-Rhodalb-Pleusch-Ptilcri (mv zonals)","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(DCS)","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)"
"ESSFdk 1 /101","ESSFdkw  /101.1",9.7037037037037,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC BlSe - Vaccsco","SUBASS BlSe - Vaccsco (Barbilo)","SUBASS BlSe-Menzfer (typic)"
"ESSFdk 1 /110","ESSFdk 1 /101",3.52941176470588,"ASSOC BlSe-Menzfer-Tiartri","ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","SUBASS BlSe-Menzfer (typic)",""
"ESSFdk 1 /110","ESSFdk 2 /111",8.77389705882353,"ASSOC BlSe-Menzfer-Tiartri","ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","SUBASS BlSe-Menzfer (Tiartri)",""
"ESSFdk 2 /101","ESSFmm 3 /103",0.888888888888889,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","","","SUBASS BlSe-Menzfer (Pleusch)"
"ESSFdk 2 /103","ESSFdk 2 /102",6.025,"ASSOC Pinucon-Abielas-Junicom-Eurycon","ASSOC PlFd-Junicom-Acergla (ESSFs xeric)","",""
"ESSFdk 2 /104","ESSFdk 2 /101",2.43055555555556,"ASSOC Abielas-Pinucon-Menzfer-Vaccsco","ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","SUBASS BlSe-Menzfer (Pleusch)",""
"ESSFdk 2 /104","ESSFdk 1 /101",6.92460317460317,"ASSOC Abielas-Pinucon-Menzfer-Vaccsco","ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","SUBASS BlSe-Menzfer (typic)",""
"ESSFdk 2 /104","ESSFmm 3 /103",5.27777777777778,"ASSOC Abielas-Pinucon-Menzfer-Vaccsco","","",""
"ESSFdk 2 /104","ESSFdkw  /101.1",9.84259259259259,"ASSOC Abielas-Pinucon-Menzfer-Vaccsco","ASSOC BlSe - Vaccsco","SUBASS BlSe - Vaccsco (Barbilo)",""
"ESSFdk 2 /104","ESSFxc 2 /103a",9.94444444444445,"ASSOC Abielas-Pinucon-Menzfer-Vaccsco","ASSOC Abielas-Pinucon-Vaccsco - Cladonia","SUBASS PlBl-Vaccmem-Vaccsco(typic)",""
"ESSFdk 2 /110","ESSFmm 3 /110",5,"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","","",""
"ESSFdk 2 /112a","MS  dm 3 /112",9.48571428571429,"ASSOC Piceeng-Abielas-Equiarv-Valesit","ASSOC SxwBl-Equiset(MS/ICHmk)","","Ws08.3 SUBASS Abielas-Piceeng-Equiset-Pleusch (N-S transition)"
"ESSFdkw  /101.1","ESSFxc 2 /103a",6.92508417508418,"ASSOC BlSe - Vaccsco","ASSOC Abielas-Pinucon-Vaccsco - Cladonia","SUBASS PlBl-Vaccmem-Vaccsco(typic)","SUBASS BlSe - Vaccsco (Barbilo)"
"ESSFdkw  /101.1","ESSFdkw  /110",0.75,"ASSOC BlSe - Vaccsco","ASSOC BlSe-Vaccsco-Valesit (xc zonals)","SUBASS BlSe-Vaccsco-Barblyc","SUBASS BlSe - Vaccsco (Barbilo)"
"ESSFdkw  /101.1","ESSFxc 2 /110",9.55769230769231,"ASSOC BlSe - Vaccsco","ASSOC Abielas-Rhodalb-Vaccsco","","SUBASS BlSe - Vaccsco (Barbilo)"
"ESSFdkw  /101.1","ESSFdcw  /103",9.6,"ASSOC BlSe - Vaccsco","ASSOC Abielas-Rhodalb-Vaccsco","","SUBASS BlSe - Vaccsco (Barbilo)"
"ESSFdkw  /110","ESSFxc 2 /103a",9.54545454545455,"ASSOC BlSe-Vaccsco-Valesit (xc zonals)","ASSOC Abielas-Pinucon-Vaccsco - Cladonia","SUBASS PlBl-Vaccmem-Vaccsco(typic)","SUBASS BlSe-Vaccsco-Barblyc"
"ESSFdv 1 /101","ESSFwm 2 /104",8.27884615384616,"ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu","","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)"
"ESSFdv 1 /102","ESSFmk   /02",7.5625,"%ASSOC Pinualb-Abielas-Cladoni%","ASSOC BlPaHm-Cladoni-Dicrfus","SUBASS Pa-Cladoni-Dicrfus(Cassmer)",""
"ESSFdv 1 /104","ESSFdv 2 /104",7.82727272727273,"ASSOC BlPa - Vaccmem - Paximyr","ASSOC Pinucon-Abielas-Vaccmem-Cladoni","SUBASS PlBl-Vaccmem-Cladoni(Pinualb)",""
